# schizophrenia 段階0 の中間検証用の候補リスト（1000 遺伝子）
# 作成 2026-09-18。順序は下の構成の順（段階0 は並びに依存しない）。
#   1. 正解 11: C4A, GRIN2A, GRM3, DRD2, DRD3, CHRM1, CHRM3, CHRM4, COMT, GAD1, SLC6A3
#      Open Targets（MONDO_0005090）: DRD2 0.733 / DRD3 0.672 / GRIN2A 0.588 / GRM3 0.579 / CHRM3 0.489 / CHRM4 0.459 /
#      CHRM1 0.431 / SLC6A3 0.424 / COMT 0.240 / GAD1 0.120 / C4A 0.088（文献のみ）。CHRM1・CHRM4 は xanomeline（ChEMBL: M1/M4 作動薬）
#   2. 同族デコイ 50: 正解と同じ系統（ムスカリン・ニコチン・グルタミン酸・ドパミン・セロトニン・アドレナリン受容体、
#      SLC6A、GABA-A、補体）の正式記号のうち Open Targets < 0.1 の 55 個から seed=0 で 50
#   3. Open Targets 関連スコア上位 100
#   ここまで重複を除いて 153 件。残り 847 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名
C4A		Complement C4-A	CO4,CPAMD2
BCL11A		BCL11 transcription factor A	CTIP1,EVI9,ZNF856
THOC7		THO complex subunit 7	NIF3L1BP1
KLF6		Krueppel-like factor 6	BCD1,COPEB,CPBP,ST12
SNAP91		Clathrin coat assembly protein AP180	
SATB2		DNA-binding protein SATB2	
ZNF536		Zinc finger protein 536	
VRK2		Serine/threonine-protein kinase VRK2	
ZSWIM6		Zinc finger SWIM domain-containing protein 6	
SORCS3		VPS10 domain-containing receptor SorCS3	
NCAM1		Neural cell adhesion molecule 1	NCAM
DPYD		Dihydropyrimidine dehydrogenase [NADP(+)]	
AKT3		RAC-gamma serine/threonine-protein kinase	PKBG
CUL3		Cullin-3	
MAN2A1		Alpha-mannosidase 2	MANA2
HCN1		Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	BCNG1
CARMIL1		F-actin-uncapping protein LRRC16A	CARMIL,LRRC16,LRRC16A
SNX19		Sorting nexin-19	
PRKD1		Serine/threonine-protein kinase D1	PKD,PKD1,PRKCM
GRIA1		Glutamate receptor 1	GLUA1,GLUH1,GLUR1
SCN1A		Sodium channel protein type 1 subunit alpha	NAC1,SCN1
MMP16		Matrix metalloproteinase-16	C8orf57,MMPX2
PDE4B		3',5'-cyclic-AMP phosphodiesterase 4B	DPDE4
CALN1		Calcium-binding protein 8	CABP8
TSNARE1		t-SNARE domain-containing protein 1	
GDNF		Glial cell line-derived neurotrophic factor	
SDCCAG8		Serologically defined colon cancer antigen 8	CCCAP,NPHP10
PPP1R16B		Protein phosphatase 1 regulatory inhibitor subunit 16B	ANKRD4
ITIH3		Inter-alpha-trypsin inhibitor heavy chain H3	
NEGR1		Neuronal growth regulator 1	IGLON4
GGNBP2		Gametogenetin-binding protein 2	LCRG1,LZK1,ZNF403
KCNQ5		Potassium voltage-gated channel subfamily KQT member 5	
ATXN7		Ataxin-7	SCA7
SPATS2L		SPATS2-like protein	DNAPTP6,SP1224
CPNE1		Copine-1	CPN1
CHRNA3		Neuronal acetylcholine receptor subunit alpha-3	NACHRA3
AS3MT		Arsenite methyltransferase	CYT19
ATP2A2		Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	ATP2B
MAD1L1		Mitotic spindle assembly checkpoint protein MAD1	MAD1,TXBP181
BNIP3L		BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	BNIP3A,BNIP3H,NIX
SGCD		Delta-sarcoglycan	
NMUR2		Neuromedin-U receptor 2	NMU2,NMU2R,TGR1
NRGN		Neurogranin	
ZFPM2		Zinc finger protein ZFPM2	FOG2,ZNF89B
RXFP2		Relaxin receptor 2	GPR106,GREAT,LGR8
ISLR		Immunoglobulin superfamily containing leucine-rich repeat protein	
PNISR		Arginine/serine-rich protein PNISR	C6orf111,SFRS18,SRRP130
MASTL		Serine/threonine-protein kinase greatwall	GW,GWL,THC2
NRROS		Transforming growth factor beta activator LRRC33	LRRC33
BORCS7		BLOC-1-related complex subunit 7	C10orf32
LRRC1		Leucine-rich repeat-containing protein 1	LANO
ANTXR2		Anthrax toxin receptor 2	CMG2
COL13A1		Collagen alpha-1(XIII) chain	
GRHL2		Grainyhead-like protein 2 homolog	BOM,TFCP2L3
MRPL43		Large ribosomal subunit protein mL43	
CASQ2		Calsequestrin-2	
GJA10		Gap junction alpha-10 protein	CX62
NCAN		Neurocan core protein	CSPG3,NEUR
IGF2BP1		Insulin-like growth factor 2 mRNA-binding protein 1	CRDBP,VICKZ1,ZBP1
ABCC5		ATP-binding cassette sub-family C member 5	MRP5
ADAM10		Disintegrin and metalloproteinase domain-containing protein 10	KUZ,MADM
C1orf116		Specifically androgen-regulated gene protein	SARG
SATL1		Spermidine/spermine N(1)-acetyltransferase-like protein 1	
OR4D1		Olfactory receptor 4D1	OR4D3
FLRT1		Leucine-rich repeat transmembrane protein FLRT1	
LSM1		U6 snRNA-associated Sm-like protein LSm1	CASM
SPIN4		Spindlin-4	
DEFB110		Beta-defensin 110	DEFB10,DEFB11,DEFB111
FGB		Fibrinogen beta chain	
CYTH4		Cytohesin-4	CYT4,PSCD4
EEF2		Elongation factor 2	EF2
